continous scale ebaluation for image quality																					continous evaluation scale for depth perception																		contonous evaluation scale for visual comfort																					
																																																												
																																																												
ID	AGE	SEXE	Content1	Content2	Content3	Content4	Content5	Content6	Content7	Content8	Content9	Content10	Content11	Content12	Content13	Content14	Content15	Content16			Content1	Content2	Content3	Content4	Content5	Content6	Content7	Content8	Content9	Content10	Content11	Content12	Content13	Content14	Content15	Content16			Content1	Content2	Content3	Content4	Content5	Content6	Content7	Content8	Content9	Content10	Content11	Content12	Content13	Content14	Content15	Content16						
14,00	21,00	m	50,00	55,00	65,00	80,00	59,00	89,00	50,00	54,00	60,00	52,00	59,00	59,00	80,00	84,00	79,00	95,00			45,00	85,00	75,00	55,00	57,00	76,00	47,00	55,00	43,00	50,00	45,00	55,00	60,00	94,00	80,00	80,00			77,00	65,00	59,00	57,00	87,00	74,00	65,00	70,00	85,00	48,00	48,00	67,00	68,00	100,00	65,00	100,00						
15,00	22,00	m	45,00	59,00	69,00	85,00	50,00	50,00	59,00	45,00	56,00	50,00	89,00	58,00	90,00	89,00	70,00	95,00			44,00	79,00	80,00	59,00	56,00	60,00	48,00	50,00	41,00	56,00	40,00	30,00	70,00	99,00	87,00	90,00			80,00	64,00	55,00	52,00	70,00	79,00	68,00	40,00	85,00	49,00	45,00	65,00	90,00	90,00	68,00	93,00						
16,00	21,00	F	58,00	40,00	60,00	75,00	52,00	55,00	80,00	50,00	59,00	59,00	40,00	50,00	55,00	87,00	35,00	99,00			50,00	85,00	86,00	50,00	45,00	68,00	43,00	56,00	44,00	51,00	50,00	53,00	60,00	90,00	83,00	90,00			70,00	68,00	52,00	20,00	90,00	70,00	60,00	50,00	88,00	40,00	49,00	64,00	100,00	90,00	69,00	90,00						
17,00	22,00	f	60,00	70,00	55,00	77,00	45,00	45,00	59,00	60,00	61,00	60,00	41,00	90,00	70,00	89,00	80,00	97,00			51,00	80,00	79,00	54,00	46,00	65,00	41,00	57,00	47,00	50,00	30,00	52,00	65,00	89,00	83,00	100,00			90,00	69,00	51,00	60,00	87,00	75,00	90,00	55,00	90,00	45,00	40,00	63,00	60,00	100,00	60,00	91,00						
18,00	21,00	f	69,00	40,00	20,00	40,00	55,00	56,00	56,00	65,00	50,00	44,00	50,00	65,00	23,00	58,00	50,00	87,00			49,00	85,00	80,00	55,00	40,00	69,00	40,00	50,00	45,00	54,00	44,00	55,00	67,00	84,00	85,00	95,00			80,00	61,00	65,00	100,00	86,00	71,00	50,00	54,00	81,00	44,00	47,00	62,00	50,00	94,00	65,00	99,00						
19,00	25,00	m	55,00	20,00	40,00	50,00	56,00	59,00	45,00	64,00	45,00	56,00	49,00	64,00	25,00	40,00	35,00	50,00			40,00	90,00	85,00	65,00	49,00	60,00	50,00	60,00	47,00	46,00	45,00	54,00	71,00	89,00	70,00	97,00			50,00	61,00	45,00	52,00	84,00	79,00	65,00	53,00	80,00	41,00	70,00	63,00	40,00	88,00	61,00	90,00						
20,00	25,00	m	58,00	65,00	50,00	60,00	59,00	54,00	40,00	50,00	65,00	58,00	60,00	68,00	60,00	84,00	55,00	89,00			60,00	83,00	87,00	95,00	55,00	65,00	70,00	56,00	39,00	66,00	46,00	54,00	79,00	90,00	88,00	92,00			88,00	66,00	49,00	59,00	84,00	88,00	61,00	55,00	86,00	47,00	30,00	65,00	80,00	98,00	70,00	96,00						
21,00	25,00	m	50,00	60,00	69,00	78,00	58,00	51,00	35,00	47,00	49,00	60,00	45,00	61,00	70,00	50,00	35,00	40,00			65,00	79,00	80,00	55,00	60,00	64,00	30,00	57,00	30,00	60,00	48,00	59,00	59,00	100,00	87,00	91,00			50,00	67,00	55,00	50,00	87,00	75,00	69,00	50,00	87,00	41,00	48,00	66,00	65,00	96,00	50,00	90,00						
22,00	26,00	m	89,00	30,00	40,00	40,00	50,00	50,00	36,00	60,00	46,00	90,00	41,00	69,00	30,00	40,00	80,00	50,00			35,00	80,00	90,00	56,00	45,00	60,00	45,00	57,00	60,00	63,00	45,00	56,00	64,00	90,00	85,00	87,00			60,00	70,00	58,00	49,00	84,00	74,00	66,00	60,00	85,00	40,00	45,00	61,00	64,00	94,00	65,00	94,00						
23,00	35,00	m	100,00	100,00	90,00	50,00	52,00	52,00	39,00	89,00	44,00	80,00	55,00	55,00	20,00	89,00	35,00	89,00			50,00	80,00	85,00	57,00	46,00	70,00	46,00	50,00	45,00	61,00	43,00	55,00	68,00	95,00	90,00	80,00			55,00	65,00	52,00	60,00	89,00	78,00	60,00	54,00	89,00	46,00	44,00	60,00	40,00	93,00	64,00	90,00						
24,00	31,00	M	60,00	68,00	65,00	80,00	50,00	60,00	45,00	70,00	50,00	56,00	39,00	50,00	65,00	83,00	60,00	90,00			50,00	89,00	79,00	51,00	40,00	90,00	43,00	60,00	44,00	50,00	41,00	55,00	60,00	90,00	80,00	91,00			60,00	80,00	55,00	65,00	86,00	70,00	65,00	57,00	80,00	45,00	40,00	70,00	55,00	90,00	67,00	88,00						
25,00	22,00	f	65,00	70,00	60,00	79,00	45,00	60,00	39,00	50,00	60,00	96,00	50,00	40,00	70,00	80,00	65,00	99,00			51,00	80,00	70,00	59,00	41,00	55,00	41,00	46,00	46,00	40,00	44,00	50,00	60,00	99,00	87,00	90,00			0,00	65,00	59,00	55,00	84,00	70,00	64,00	55,00	80,00	94,00	41,00	50,00	90,00	100,00	68,00	89,00						
26,00	23,00	f	56,00	50,00	55,00	50,00	57,00	69,00	39,00	56,00	65,00	52,00	48,00	45,00	55,00	80,00	60,00	100,00			49,00	89,00	77,00	75,00	45,00	85,00	45,00	50,00	47,00	46,00	45,00	52,00	55,00	100,00	88,00	100,00			0,00	62,00	58,00	50,00	83,00	75,00	61,00	50,00	80,00	45,00	49,00	65,00	70,00	100,00	60,00	80,00						
27,00	21,00	f	58,00	55,00	60,00	85,00	60,00	50,00	45,00	52,00	48,00	51,00	47,00	60,00	60,00	90,00	55,00	100,00			79,00	87,00	89,00	45,00	70,00	60,00	47,00	60,00	43,00	50,00	46,00	15,00	75,00	98,00	85,00	99,00			90,00	61,00	50,00	50,00	80,00	75,00	68,00	51,00	85,00	47,00	48,00	55,00	44,00	90,00	55,00	85,00						
28,00	21,00	f	60,00	60,00	69,00	89,00	60,00	44,00	35,00	51,00	65,00	55,00	46,00	40,00	62,00	95,00	70,00	89,00			70,00	90,00	80,00	66,00	45,00	67,00	48,00	90,00	44,00	56,00	47,00	85,00	70,00	95,00	86,00	91,00			85,00	55,00	54,00	59,00	87,00	78,00	65,00	66,00	84,00	90,00	40,00	75,00	50,00	89,00	67,00	90,00						
29,00	21,00	f	44,00	69,00	60,00	95,00	65,00	58,00	45,00	54,00	59,00	54,00	41,00	20,00	68,00	90,00	75,00	98,00			50,00	89,00	86,00	44,00	25,00	68,00	49,00	30,00	45,00	51,00	44,00	55,00	66,00	85,00	85,00	90,00			85,00	70,00	46,00	58,00	83,00	74,00	66,00	50,00	84,00	45,00	41,00	40,00	90,00	88,00	64,00	100,00						
