3D_High(16x25)
5,00	3,00	5,00	5,00	4,00	3,00	3,00	4,00	5,00	3,00	5,00	2,00	5,00	5,00	5,00	5,00
3,00	3,00	4,00	4,00	3,00	4,00	3,00	4,00	3,00	3,00	3,00	3,00	4,00	5,00	4,00	5,00
3,00	4,00	4,00	4,00	4,00	5,00	3,00	3,00	3,00	5,00	3,00	3,00	4,00	5,00	5,00	4,00
3,00	4,00	4,00	5,00	3,00	3,00	3,00	3,00	3,00	3,00	3,00	3,00	4,00	5,00	4,00	5,00
3,00	4,00	4,00	5,00	4,00	3,00	3,00	3,00	3,00	5,00	3,00	4,00	4,00	5,00	4,00	5,00
4,00	4,00	3,00	5,00	4,00	3,00	3,00	3,00	3,00	3,00	5,00	4,00	4,00	5,00	3,00	4,00
3,00	4,00	3,00	5,00	3,00	3,00	3,00	3,00	5,00	4,00	3,00	3,00	4,00	5,00	4,00	5,00
3,00	4,00	3,00	5,00	3,00	4,00	3,00	3,00	4,00	4,00	4,00	3,00	4,00	5,00	4,00	5,00
3,00	5,00	4,00	5,00	3,00	4,00	3,00	3,00	3,00	3,00	3,00	3,00	3,00	5,00	4,00	5,00
3,00	4,00	3,00	5,00	3,00	3,00	3,00	3,00	3,00	3,00	3,00	3,00	3,00	5,00	4,00	5,00
3,00	4,00	4,00	5,00	3,00	3,00	3,00	4,00	3,00	3,00	3,00	3,00	4,00	5,00	4,00	5,00
3,00	4,00	4,00	4,00	3,00	3,00	4,00	3,00	3,00	4,00	2,00	5,00	4,00	5,00	4,00	5,00
3,00	4,00	5,00	5,00	4,00	3,00	3,00	3,00	3,00	1,00	2,00	3,00	4,00	5,00	4,00	5,00
3,00	4,00	4,00	5,00	4,00	3,00	3,00	3,00	3,00	3,00	3,00	3,00	4,00	5,00	5,00	5,00
3,00	3,00	4,00	5,00	3,00	5,00	3,00	3,00	4,00	3,00	3,00	3,00	5,00	5,00	4,00	5,00
3,00	3,00	4,00	5,00	3,00	3,00	3,00	3,00	3,00	3,00	5,00	3,00	5,00	5,00	4,00	5,00
3,00	3,00	4,00	4,00	3,00	3,00	5,00	3,00	3,00	3,00	3,00	3,00	3,00	5,00	2,00	5,00
4,00	4,00	3,00	4,00	3,00	3,00	3,00	4,00	4,00	4,00	3,00	5,00	4,00	5,00	5,00	5,00
4,00	3,00	2,00	3,00	3,00	3,00	3,00	4,00	3,00	3,00	3,00	4,00	2,00	3,00	3,00	5,00
3,00	2,00	3,00	3,00	3,00	3,00	3,00	4,00	3,00	3,00	3,00	4,00	2,00	3,00	2,00	3,00
3,00	4,00	3,00	4,00	3,00	3,00	3,00	3,00	4,00	3,00	4,00	4,00	4,00	5,00	3,00	5,00
3,00	4,00	4,00	4,00	3,00	3,00	2,00	3,00	3,00	4,00	3,00	4,00	4,00	3,00	2,00	3,00
5,00	2,00	3,00	3,00	3,00	3,00	2,00	4,00	3,00	5,00	3,00	4,00	2,00	3,00	5,00	3,00
5,00	5,00	5,00	3,00	3,00	3,00	2,00	5,00	3,00	5,00	3,00	3,00	2,00	5,00	2,00	5,00
4,00	4,00	4,00	5,00	3,00	4,00	3,00	4,00	3,00	3,00	2,00	3,00	4,00	5,00	4,00	5,00
3	4	4	4	3	4	3	3	3	4	3	4	3	4	4	5
4	4	4	4	4	4	4	2	4	3	4	3	4	4	4	4
3	4	4	4	3	4	3	3	3	3	3	4	3	4	4	5
4	4	4	4	3	4	3	4	4	3	3	4	4	4	4	4
3	3	3	5	2	3	5	3	3	3	3	3	3	3	2	5
4	3	5	4	5	3	4	4	5	3	3	3	4	4	3	4
3	3	5	5	5	3	3	4	3	4	4	5	3	4	4	4
4	4	4	4	4	4	4	3	4	5	2	3	3	5	4	5
4	3	4	4	5	2	4	3	3	4	3	4	4	4	4	3
4	3	4	4	4	3	3	4	3	3	3	3	3	3	4	4
3	5	3	4	3	3	3	5	5	5	3	4	5	4	4	3
4	5	4	4	5	4	4	5	3	3	3	4	4	4	4	4
2	4	4	4	3	2	2	4	3	4	3	4	5	3	4	5
3	5	3	5	4	4	3	5	4	5	3	3	4	4	4	5
3	4	3	4	4	3	4	4	4	5	4	4	3	5	4	4
4	3	4	4	4	4	3	3	3	4	5	4	4	4	4	5
2	4	4	4	2	5	3	5	5	2	4	3	5	4	3	4
3	3	4	4	3	4	4	3	4	3	3	3	4	3	3	3
3	4	4	4	3	5	3	4	3	3	4	3	4	4	4	5
4	4	4	3	4	4	3	4	3	4	3	4	4	5	4	3
4	4	4	4	2	4	2	4	4	4	4	4	4	3	4	4
4	4	4	3	3	3	3	3	2	4	5	3	4	4	4	4
5	3	4	4	3	4	3	3	3	3	4	4	3	4	3	4
4	3	4	4	4	3	3	3	3	3	3	4	3	4	4	3
3	4	3	4	2	4	4	4	4	3	3	4	4	4	4	4
5	4	3	3	3	4	2	2	2	3	3	3	4	4	4	5
2D_High(16x25)
4	3	3	4	3	4	4	3	3	3	3	4	4	3	3	3
3	3	4	4	3	3	3	3	3	3	3	3	3	3	4	4
3	4	4	3	4	4	4	4	4	4	3	4	4	4	3	4
4	4	3	2	4	3	3	3	4	3	4	3	3	3	4	4
3	3	3	3	3	3	3	4	3	3	4	3	3	3	4	4
3	4	3	3	4	3	4	4	3	3	3	3	4	4	3	4
3	3	3	4	4	3	3	3	3	3	3	3	3	3	3	3
4	3	4	4	3	4	4	4	4	4	4	3	4	4	4	4
3	4	4	3	2	4	3	3	3	4	3	4	3	3	3	4
4	3	3	3	3	3	3	3	4	3	3	4	3	3	3	3
3	4	4	4	4	4	4	4	3	3	4	3	4	4	4	3
3	3	3	4	3	3	4	3	3	3	3	3	3	3	4	4
4	4	4	3	3	4	3	4	4	4	3	4	3	4	4	5
3	3	5	3	4	3	3	3	3	4	4	3	3	4	3	3
4	4	4	3	4	3	4	3	4	4	4	3	3	3	3	3
3	3	3	3	3	3	4	3	4	4	3	4	4	3	4	4
4	4	4	4	4	3	4	2	4	3	4	3	4	2	4	5
3	3	3	4	3	3	3	3	2	3	4	3	3	3	2	4
4	4	2	4	4	4	3	4	3	4	4	4	3	4	3	3
3	3	3	4	3	3	4	3	3	3	4	5	3	4	3	3
4	4	4	3	3	4	3	4	4	4	4	4	4	3	4	4
3	3	5	3	4	3	3	3	3	4	4	4	3	3	5	4
4	4	4	3	4	3	4	3	4	4	3	3	3	4	3	4
4	4	4	3	3	4	3	4	4	4	4	3	3	4	4	4
3	3	5	3	4	3	3	3	3	4	5	4	3	3	3	4
4	4	4	3	4	3	4	3	4	4	3	4	4	3	4	4
3	3	3	4	3	3	4	3	3	3	3	4	3	4	3	3
4	4	4	3	3	4	3	4	4	4	4	3	4	4	4	4
